"Gene_A"	"Gene_B"
"FSD2"	"NDN"
"FSD2"	"BEX2"
"FSD2"	"SPATC1L"
"FSD2"	"BRD8"
"FSD2"	"Q9H6F0"
"FSD2"	"SH2D4A"
"FSD2"	"CBX8"
"FSD2"	"ZNF581"
"FSD2"	"POLL"
"FSD2"	"ZNF230"
"FSD2"	"MRPL11"
"FAM92A"	"APPBP2"
"FAM92A"	"CBY1"
"A2A284"	"LAT"
"A2A284"	"EGFR"
"A2A284"	"PDGFRB"
"A2ABK9"	"HSP90AB1"
"A2AE51"	"MAGEA6"
"A2BHY8"	"B3KM38"
"A2NUT2"	"IGH@"
"ZNF320"	"KRTAP10-5"
"ZNF320"	"KRTAP10-7"
"C1ORF104"	"WDR5"
"WDR27"	"B4DYC6"
"WDR27"	"ASNS"
"TMEM213"	"TCF4"
"TMEM213"	"MAT2A"
"NBAS"	"ZW10"
"NBAS"	"OLFM2"
"NBAS"	"RINT1"
"NBAS"	"STX18"
"TARS3"	"B2RDX5"
"TARS3"	"TARS1"
"TMEM218"	"PCNA"
"TMEM218"	"LDLRAD1"
"TMEM218"	"CREB3L1"
"SMCO3"	"MAPK9"
"SMCO3"	"TRIM39"
"HYKK"	"TRIP6"
"HYKK"	"FLJ13057"
"HYKK"	"GMCL1"
"LOC401296"	"ZDHHC17"
"MYBPHL"	"FHL3"
"MYBPHL"	"TNS2"
"MYBPHL"	"ZDHHC17"
"DCDC2B"	"FHL3"
"DCDC2B"	"MTUS2"
"DCDC2B"	"KRT40"
"DCDC2B"	"BANP"
"DCDC2B"	"RBPMS"
"FUOM"	"NUDCD1"
"SSPO"	"ATN1"
"SSPO"	"TTC28"
"SSPO"	"ATXN7L1"
"NRF"	"PRKRA"
"NRF"	"HMOX2"
"VWA8"	"MEGF10"
"VWA8"	"NUDCD1"
"HIST1H1E"	"NCK1"
"HIST1H1E"	"CBX3"
"HIST1H1E"	"L3MBTL1"
"ORC5L"	"CDC7"
"ORC5L"	"ORC4"
"ORC5L"	"CDC45"
"ORC5L"	"KRT18"
"ORC5L"	"MCM3"
"ORC5L"	"MCM5"
"ORC5L"	"CDKN2A"
"ORC5L"	"MCM2"
"ORC5L"	"LAMB2"
"ORC5L"	"CALCOCO2"
"ORC5L"	"ORC1"
"ORC5L"	"ORC2"
"ORC5L"	"NONO"
"ORC5L"	"DMRTA1"
"ORC5L"	"TXNDC11"
"ORC5L"	"TAX1BP1"
"ORC5L"	"CDC5L"
"ORC5L"	"CDC6"
"ORC5L"	"NIF3L1"
"ORC5L"	"UBQLN4"
"ORC5L"	"STAB1"
"ORC5L"	"SIPA1L2"
"ORC5L"	"ORC3"
"GSAP"	"APP"
"GTPBP10"	"GOLGA2"
"GTPBP10"	"MTUS2"
"GTPBP10"	"NECAB2"
"GTPBP10"	"PNMA1"
"CCM1"	"ITGB1BP1"
"CCM1"	"CCM2"
"FLJ34048"	"GOLGA2"
"FLJ34048"	"CDC23"
"DNCI1"	"NUDT21"
"DNCI1"	"KAT7"
"DNCI1"	"TK1"
"DNCI1"	"FBP1"
"DNCI1"	"RCC1"
"DNCI1"	"ANXA7"
"DNCI1"	"MCC"
"DNCI1"	"CDKN1A"
"DNCI1"	"RAP1GAP"
"DNCI1"	"DNM2"
"DNCI1"	"PIN1"
"DNCI1"	"DCTN1"
"DNCI1"	"GRB7"
"DNCI1"	"SMN1|SMN2"
"DNCI1"	"TAOK1"
"DNCI1"	"CADM4"
"DNCI1"	"RUNDC3B"
"DNCI1"	"FAM110A"
"DNCI1"	"FAM83D"
"DNCI1"	"WDCP"
"DNCI1"	"NAGK"
"WDR91"	"SDCBP"
"WDR91"	"ARIH2"
"WDR91"	"RAB8A"
"WDR91"	"WDR81"
"WDR91"	"STX8"
"WDR91"	"NUDC"
"DENND11"	"SETBP1"
"FLJ10842"	"PDLIM1"
"FLJ10842"	"SNX4"
"FLJ10842"	"HCK"
"HRBL"	"ITSN1"
"HIST1H2AK"	"NOTCH2NLA"
"HIST1H2AK"	"APPBP2"
"HIST1H2AK"	"TERF2IP"
"MTMR11"	"SMAD9"
"C3ORF60"	"LSM1"
"MKL1"	"MVP"
"EIF2C2"	"A8K1F4"
"EIF2C2"	"B4DYC6"
"EIF2C2"	"HSF2"
"EIF2C2"	"PSMD2"
"EIF2C2"	"FKBP5"
"EIF2C2"	"PTGES3"
"EIF2C2"	"NUDCD3"
"EIF2C2"	"Q96BE0"
"EIF2C2"	"AARSD1"
"EIF2C2"	"Q9HAV2"
"EIF2C2"	"STUB1"
"LRP5L"	"PLK1"
"LRP5L"	"CSNK2B"
"PI4KAP2"	"APPBP2"
"XIRP2"	"DYSF"
"XIRP2"	"NEBL"
"XIRP2"	"PCNA"
"CLEC18A"	"KRT40"
"CLEC18A"	"ADAMTSL4"
"CLEC18A"	"NOTCH2NLA"
"VPS37C"	"WWP2"
"VPS37C"	"HGS"
"VPS37C"	"PLSCR1"
"VPS37C"	"SORBS3"
"VPS37C"	"PDCD6"
"VPS37C"	"STAM2"
"VPS37C"	"SORBS2"
"VPS37C"	"PSMA3"
"VPS37C"	"DDIT3"
"VPS37C"	"PKNOX1"
"VPS37C"	"XIAP"
"VPS37C"	"TLE5"
"VPS37C"	"GOLGA2"
"VPS37C"	"DAZAP2"
"VPS37C"	"CEP55"
"VPS37C"	"RINT1"
"VPS37C"	"C1ORF94"
"VPS37C"	"RFX6"
"VPS37C"	"MAPK1IP1L"
"VPS37C"	"FAM168A"
"VPS37C"	"TFG"
"VPS37C"	"RBPMS"
"VPS37C"	"TSG101"
"VPS37C"	"SH3GL1"
"VPS37C"	"HNRNPUL1"
"VPS37C"	"TFIP11"
"VPS37C"	"TACC3"
"CCDC151"	"SUV39H1"
"CCDC151"	"KDM1A"
"CCDC151"	"NECAB2"
"CCDC151"	"TXLNB"
"CCDC151"	"CCDC114"
"CCDC151"	"SUV39H2"
"CCDC151"	"TFIP11"
"PSD"	"GNB5"
"PSD"	"GMFG"
"PSD"	"GLRA2"
"PSD"	"HEXD"
"PSD"	"RAB40C"
"INADL"	"DDX18"
"KRBA1"	"PLK1"
"TMEM189"	"UBE2N"
"CNOT1"	"CNOT3"
"CNOT1"	"CNOT4"
"CNOT1"	"DDX6"
"CNOT1"	"ZFP36"
"CNOT1"	"TOB1"
"CNOT1"	"TNRC6A"
"CNOT1"	"NANOS1"
"CNOT1"	"CNOT9"
"CNOT1"	"CNOT6L"
"CNOT1"	"TNRC6C"
"CNOT1"	"EIF4ENIF1"
"CNOT1"	"CNOT2"
"CNOT1"	"CNOT8"
"CNOT1"	"CNOT7"
"CNOT1"	"CNOT11"
"CNOT1"	"CNOT6"
"CARNS1"	"TRIP12"
"MEGF11"	"ATN1"
"CCDC88B"	"PBX2"
"CCDC88B"	"PLEKHA5"
"KLHL33"	"NUDCD3"
"A6NCI0"	"ELP1"
"A6NCI0"	"EEF1A1"
"IZUMO1R"	"IZUMO1"
"A6ND79"	"MAP3K7CL"
"GOLGA6B"	"KAT2B"
"TMEM8B"	"ATXN1L"
"WDR97"	"FBXW7"
"RCCD1"	"KDM8"
"GOLGA6L9"	"CACNA1A"
"FAM181B"	"TEAD4"
"TBC1D3F"	"YWHAE"
"C5ORF60"	"KRTAP10-9"
"C5ORF60"	"KRT31"
"C5ORF60"	"FLJ13057"
"C5ORF60"	"KRT40"
"C5ORF60"	"NOTCH2NLA"
"C5ORF60"	"GMCL1"
"C5ORF60"	"KRTAP3-2"
"SDHAF1"	"SDHB"
"SDHAF1"	"HSCB"
"A6NG51"	"FANCG"
"A6NG51"	"STAT1"
"A6NG51"	"SOS1"
"A6NG51"	"MAPK6"
"A6NG51"	"PTOV1"
"A6NG51"	"CEP63"
"A6NG51"	"DDX24"
"A6NG51"	"PLEKHA5"
"A6NG51"	"DISC1"
"A6NG51"	"EXOC1"
"A6NG51"	"PIN4"
"A6NG51"	"TSSC4"
"WIPF3"	"WASL"
"IGLON5"	"NEGR1"
"SPDYE2B"	"PCNA"
"FBLL1"	"ESR2"
"CCDC69"	"ACO1"
"CCDC69"	"PSMA3"
"CCDC69"	"MAP3K20"
"IGIP"	"MAPK8IP2"
"METTL15"	"TRIP13"
"PRR19"	"MEOX2"
"PRR19"	"KRT31"
"ZNF233"	"CACNA1A"
"CCDC85C"	"APPBP2"
"A6NKH4"	"ATXN7"
"A6NLP3"	"UBE2D2"
"A6NLR5"	"B0V265"
"A6NLR5"	"TRIM27"
"A6NLR5"	"TRAF2"
"A6NLR5"	"CALCOCO2"
"A6NLR5"	"TRIM29"
"A6NLR5"	"TCEA2"
"A6NLR5"	"CCDC85B"
"A6NLR5"	"IFT20"
"A6NLR5"	"USHBP1"
"A6NLR5"	"GCC1"
"A6NLR5"	"ACCS"
"A6NLR5"	"RHOXF2"
"A6NLR5"	"HIF1AN"
"A6NLR5"	"TUBGCP4"
"A6NN06"	"MDFI"
"A6NN80"	"CDC73"
"NUTM2B"	"ATXN1"
"LRRIQ3"	"NCK2"
"A6PW31"	"CREB1"
"A6PW31"	"VAV2"
"A6PW31"	"NFYC"
"A6XND8"	"GRB2"
"A7E1Y8"	"RECQL5"
"GOLGA8A"	"ITSN2"
"ZSWIM8"	"ATXN1L"
"ZSWIM8"	"ATXN1"
"ZSWIM8"	"ATN1"
"MYH7B"	"TNS2"
"MYH7B"	"SMYD1"
"MYH7B"	"ESR2"
"ARHGAP32"	"NCK2"
"ARHGAP32"	"FYN"
"ARHGAP32"	"ATXN1"
"ARHGAP32"	"CDC42"
"ARHGAP32"	"RHOA"
"ARHGAP32"	"GRB2"
"ARHGAP32"	"RAC1"
"ARHGAP32"	"TLE5"
"ARHGAP32"	"DZIP3"
"ARHGAP32"	"MEGF10"
"ARHGAP32"	"MDFI"
"ARHGAP32"	"LZTS2"
"ARHGAP32"	"ABI2"
"TBKBP1"	"IKBKE"
"TBKBP1"	"TBK1"
"SRRM4"	"CACNA1A"
"SOBP"	"CTBP1"
"SOBP"	"CELF3"
"POM121C"	"PCNA"
"POM121C"	"APC"
"POM121C"	"STAT5A"
"POM121C"	"MEOX2"
"POM121C"	"ESR2"
"A8K008"	"CD19"
"A8K008"	"IGK@"
"A8K008"	"Q8TCD0"
"A8K008"	"S6BGD6"
"KNTC2"	"PFDN1"
"KNTC2"	"TOM1L1"
"KNTC2"	"NEK2"
"KNTC2"	"KLHL12"
"KNTC2"	"USHBP1"
"KNTC2"	"NUF2"
"KNTC2"	"CALCOCO1"
"KNTC2"	"BLOC1S6"
"KNTC2"	"AMOTL2"
"KNTC2"	"WASHC3"
"ZNF839"	"YWHAE"
"ZNF839"	"YWHAZ"
"ZNF839"	"WNK1"
"WASHC1"	"WASHC5"
"WASHC1"	"BECN1"
"WASHC1"	"WASHC4"
"A8K147"	"FGFR2"
"A8K1F4"	"B3KTT5"
"A8K1F4"	"HAX1"
"A8K1F4"	"IRS4"
"A8K1F4"	"GNB5"
"A8K1F4"	"TET3"
"A8K1F4"	"PSMD3"
"A8K1F4"	"CALU"
"A8K1F4"	"DNAJB6"
"A8K1F4"	"PRPF6"
"A8K1F4"	"REC8"
"A8K1F4"	"BAG2"
"A8K1F4"	"BAG3"
"A8K1F4"	"MOS"
"A8K1F4"	"RAF1"
"A8K1F4"	"TUBB4A"
"A8K1F4"	"ERBB2"
"A8K1F4"	"TP53"
"A8K1F4"	"RPN1"
"A8K1F4"	"LIG1"
"A8K1F4"	"GNAZ"
"A8K1F4"	"ERCC3"
"A8K1F4"	"MAOA"
"A8K1F4"	"UQCRC2"
"A8K1F4"	"DNAJB2"
"A8K1F4"	"GNA15"
"A8K1F4"	"CALCR"
