"Gene_A"	"Gene_B"
"H4C8"	"H2AC8"
"H4C9"	"H2AC4"
"H4C9"	"H2AC8"
"H4C11"	"H2AC4"
"H4C11"	"H2AC8"
"H4C12"	"H2AC4"
"H4C12"	"H2AC8"
"H4C13"	"H2AC4"
"H4C13"	"H2AC8"
"H4C14"	"H2AC4"
"H4C14"	"H2AC8"
"H4C15"	"H2AC4"
"H4C15"	"H2AC8"
"H4-16"	"H2AC4"
"H4-16"	"H2AC8"
"H3C1"	"H2AC4"
"H3C1"	"H2AC8"
"H3C2"	"H2AC4"
"H3C2"	"H2AC8"
"H3C3"	"H2AC4"
"H3C3"	"H2AC8"
"H3C4"	"H2AC4"
"H3C4"	"H2AC8"
"H3C6"	"H2AC4"
"H3C6"	"H2AC8"
"H3C7"	"H2AC4"
"H3C7"	"H2AC8"
"H3C8"	"H2AC4"
"H3C8"	"H2AC8"
"H3C10"	"H2AC4"
"H3C10"	"H2AC8"
"H3C11"	"H2AC4"
"H3C11"	"H2AC8"
"H3C12"	"H2AC4"
"H3C12"	"H2AC8"
"H3C1"	"H4C1"
"H3C1"	"H4C2"
"H3C1"	"H4C3"
"H3C1"	"H4C4"
"H3C1"	"H4C5"
"H3C1"	"H4C6"
"H3C1"	"H4C8"
"H3C1"	"H4C9"
"H3C1"	"H4C11"
"H3C1"	"H4C12"
"H3C1"	"H4C13"
"H3C1"	"H4C14"
"H3C1"	"H4C15"
"H3C1"	"H4-16"
"H3C2"	"H4C1"
"H3C2"	"H4C2"
"H3C2"	"H4C3"
"H3C2"	"H4C4"
"H3C2"	"H4C5"
"H3C2"	"H4C6"
"H3C2"	"H4C8"
"H3C2"	"H4C9"
"H3C2"	"H4C11"
"H3C2"	"H4C12"
"H3C2"	"H4C13"
"H3C2"	"H4C14"
"H3C2"	"H4C15"
"H3C2"	"H4-16"
"H3C3"	"H4C1"
"H3C3"	"H4C2"
"H3C3"	"H4C3"
"H3C3"	"H4C4"
"H3C3"	"H4C5"
"H3C3"	"H4C6"
"H3C3"	"H4C8"
"H3C3"	"H4C9"
"H3C3"	"H4C11"
"H3C3"	"H4C12"
"H3C3"	"H4C13"
"H3C3"	"H4C14"
"H3C3"	"H4C15"
"H3C3"	"H4-16"
"H3C4"	"H4C1"
"H3C4"	"H4C2"
"H3C4"	"H4C3"
"H3C4"	"H4C4"
"H3C4"	"H4C5"
"H3C4"	"H4C6"
"H3C4"	"H4C8"
"H3C4"	"H4C9"
"H3C4"	"H4C11"
"H3C4"	"H4C12"
"H3C4"	"H4C13"
"H3C4"	"H4C14"
